"case","event","startTime","completeTime","LoanGoal","ApplicationType","RequestedAmount","Action","FirstWithdrawalAmount","NumberOfTerms","Accepted","OfferID","org:resource","MonthlyCost","EventOrigin","EventID","Selected","CreditScore","OfferedAmount"
"Application_1688279534","A_Create Application","2016/01/08 06:02:40.655","2016/01/08 06:02:40.655","Existing loan takeover","New credit","7000.0","Created",,,,,"User_1",,"Application","Application_1688279534",,,
"Application_1688279534","A_Create Application","2016/01/08 06:02:40.655","2016/01/08 06:02:40.655","Existing loan takeover","New credit","7000.0","Created",,,,,"User_1",,"Application","Application_1688279534",,,
"Application_1688279534","W_Complete application","2016/01/09 10:06:54.896","2016/01/11 10:00:24.315","Existing loan takeover","New credit","7000.0","Deleted",,,,,"User_71",,"Workflow","Workitem_1717198859",,,
"Application_1688279534","A_Concept","2016/01/09 10:06:54.902","2016/01/09 10:06:54.902","Existing loan takeover","New credit","7000.0","statechange",,,,,"User_2",,"Application","ApplState_1302242220",,,
"Application_1688279534","A_Accepted","2016/01/11 09:52:07.489","2016/01/11 09:52:07.489","Existing loan takeover","New credit","7000.0","statechange",,,,,"User_71",,"Application","ApplState_1867708463",,,
"Application_1688279534","O_Create Offer","2016/01/11 09:58:15.001","2016/01/11 09:58:15.001","Existing loan takeover","New credit","7000.0","Created","0.0","39","false",,"User_71","200.0","Offer","Offer_1996633450","false","0","7000.0"
"Application_1688279534","O_Created","2016/01/11 09:58:16.611","2016/01/11 09:58:16.611","Existing loan takeover","New credit","7000.0","statechange","0.0","39","false","Offer_1996633450","User_71","200.0","Offer","OfferState_365928443","false","0","7000.0"
"Application_1688279534","O_Created","2016/01/11 09:58:16.611","2016/01/11 09:58:16.611","Existing loan takeover","New credit","7000.0","statechange","0.0","39","false","Offer_1996633450","User_71","200.0","Offer","OfferState_365928443","false","0","7000.0"
"Application_1688279534","W_Call after offers","2016/01/11 10:00:24.348","2016/01/20 18:32:37.465","Existing loan takeover","New credit","7000.0","Deleted","0.0","39","false","Offer_1996633450","User_4","200.0","Workflow","Workitem_730934958","false","0","7000.0"
"Application_1688279534","A_Complete","2016/01/11 10:00:24.352","2016/01/11 10:00:24.352","Existing loan takeover","New credit","7000.0","statechange","0.0","39","false","Offer_1996633450","User_71","200.0","Application","ApplState_147712357","false","0","7000.0"
"Application_1688279534","A_Cancelled","2016/01/20 18:32:37.427","2016/01/20 18:32:37.427","Existing loan takeover","New credit","7000.0","statechange","0.0","39","false","Offer_1996633450","User_4","200.0","Application","ApplState_1673444558","false","0","7000.0"
"Application_1688279534","O_Cancelled","2016/01/20 18:32:37.454","2016/01/20 18:32:37.454","Existing loan takeover","New credit","7000.0","statechange","0.0","39","false","Offer_1996633450","User_4","200.0","Offer","OfferState_1885978377","false","0","7000.0"
"Application_224758141","A_Create Application","2016/01/12 20:52:12.845","2016/01/12 20:52:12.845","Home improvement","New credit","30000.0","Created",,,,,"User_14",,"Application","Application_224758141",,,
"Application_224758141","A_Create Application","2016/01/12 20:52:12.845","2016/01/12 20:52:12.845","Home improvement","New credit","30000.0","Created",,,,,"User_14",,"Application","Application_224758141",,,
"Application_224758141","W_Complete application","2016/01/12 20:52:12.854","2016/01/12 21:00:14.691","Home improvement","New credit","30000.0","Deleted",,,,,"User_14",,"Workflow","Workitem_861515498",,,
"Application_224758141","A_Concept","2016/01/12 20:52:12.856","2016/01/12 20:52:12.856","Home improvement","New credit","30000.0","statechange",,,,,"User_14",,"Application","ApplState_1089094319",,,
"Application_224758141","A_Accepted","2016/01/12 20:57:43.459","2016/01/12 20:57:43.459","Home improvement","New credit","30000.0","statechange",,,,,"User_14",,"Application","ApplState_681110571",,,
"Application_224758141","O_Create Offer","2016/01/12 21:00:01.063","2016/01/12 21:00:01.063","Home improvement","New credit","30000.0","Created","30000.0","120","true",,"User_14","313.78","Offer","Offer_889838345","false","0","30000.0"
"Application_224758141","O_Created","2016/01/12 21:00:02.325","2016/01/12 21:00:02.325","Home improvement","New credit","30000.0","statechange","30000.0","120","true","Offer_889838345","User_14","313.78","Offer","OfferState_851582360","false","0","30000.0"
"Application_224758141","O_Created","2016/01/12 21:00:02.325","2016/01/12 21:00:02.325","Home improvement","New credit","30000.0","statechange","30000.0","120","true","Offer_889838345","User_14","313.78","Offer","OfferState_851582360","false","0","30000.0"
"Application_224758141","W_Call after offers","2016/01/12 21:00:14.709","2016/01/12 21:02:38.069","Home improvement","New credit","30000.0","Deleted","30000.0","120","true","Offer_889838345","User_14","313.78","Workflow","Workitem_2088878625","false","0","30000.0"
"Application_224758141","A_Complete","2016/01/12 21:00:14.711","2016/01/12 21:00:14.711","Home improvement","New credit","30000.0","statechange","30000.0","120","true","Offer_889838345","User_14","313.78","Application","ApplState_499890271","false","0","30000.0"
"Application_224758141","A_Cancelled","2016/01/12 21:02:38.034","2016/01/12 21:02:38.034","Home improvement","New credit","30000.0","statechange","30000.0","120","true","Offer_889838345","User_14","313.78","Application","ApplState_1222327434","false","0","30000.0"
"Application_224758141","O_Cancelled","2016/01/12 21:02:38.058","2016/01/12 21:02:38.058","Home improvement","New credit","30000.0","statechange","30000.0","120","true","Offer_889838345","User_14","313.78","Offer","OfferState_1847956814","false","0","30000.0"
"Application_1565253423","A_Create Application","2016/01/18 10:34:24.323","2016/01/18 10:34:24.323","Unknown","New credit","0.0","Created",,,,,"User_75",,"Application","Application_1565253423",,,
"Application_1565253423","A_Create Application","2016/01/18 10:34:24.323","2016/01/18 10:34:24.323","Unknown","New credit","0.0","Created",,,,,"User_75",,"Application","Application_1565253423",,,
